PROP_ID,LOC_ID,SITE_ADDR,current_use_code,nearby_count,suggestion_1_code,suggestion_1_confidence,suggestion_1_reason,suggestion_1_description
"37-12","F_767062_2960867","146 BERKSHIRE ST",199,121,102,0.477,"57/121 nearby properties (47.7%); Code: Condominium","Condominium"
"37-13","F_767118_2960852","744 CAMBRIDGE ST",0104,144,102,0.600,"86/144 nearby properties (60.0%); Code: Condominium","Condominium"
"37-14","F_767144_2960846","740 CAMBRIDGE ST",0104,144,102,0.595,"85/144 nearby properties (59.5%); Code: Condominium","Condominium"
"37-15","F_767169_2960837","738 CAMBRIDGE ST",031,146,102,0.584,"85/146 nearby properties (58.4%); Code: Condominium","Condominium"
"37-17","F_767227_2960856","728 CAMBRIDGE ST",0104,131,102,0.545,"71/131 nearby properties (54.5%); Code: Condominium","Condominium"
"37-18","F_767256_2960860","724 CAMBRIDGE ST",0104,174,102,0.676,"117/174 nearby properties (67.6%); Code: Condominium","Condominium"
"37-19","F_767301_2960858","716 CAMBRIDGE ST",199,167,102,0.674,"112/167 nearby properties (67.4%); Code: Condominium","Condominium"
"37-19-1","F_767301_2960858","722 CAMBRIDGE ST #1",327,167,102,0.674,"112/167 nearby properties (67.4%); Code: Condominium","Condominium"
"37-19-2","F_767301_2960858","722 CAMBRIDGE ST #2",327,167,102,0.674,"112/167 nearby properties (67.4%); Code: Condominium","Condominium"
"37-35","F_767091_2960483","383 CARDINAL MEDEIROS AVE",199,255,102,0.742,"189/255 nearby properties (74.2%); Code: Condominium","Condominium"
"37-37","F_767060_2960409","375 CARDINAL MEDEIROS AVE",199,171,102,0.554,"94/171 nearby properties (55.4%); Code: Condominium","Condominium"
"37-38","F_767074_2960350","363-369 CARDINAL MEDEIROS AVE",199,170,102,0.558,"94/170 nearby properties (55.8%); Code: Condominium","Condominium"
"37-48","F_766939_2960510","112 BERKSHIRE ST",199,150,102,0.603,"90/150 nearby properties (60.3%); Code: Condominium","Condominium"
"37-66","F_767155_2960673","5-9 MARCELLA ST",199,146,102,0.600,"87/146 nearby properties (60.0%); Code: Condominium","Condominium"
"37-80","F_767033_2960605","18-20 MARCELLA ST",199,139,102,0.619,"85/139 nearby properties (61.9%); Code: Condominium","Condominium"
"37-82","F_767116_2960531","14 MARCELLA ST",199,263,102,0.751,"197/263 nearby properties (75.1%); Code: Condominium","Condominium"
"37-114","F_767203_2960816","732 CAMBRIDGE ST",013,187,102,0.669,"125/187 nearby properties (66.9%); Code: Condominium","Condominium"
"39-23","F_766889_2960241","24 MARNEY ST",199,147,102,0.470,"69/147 nearby properties (47.0%); Code: Condominium","Condominium"
"39-44","F_766999_2960214","6 MARNEY ST",199,155,102,0.421,"65/155 nearby properties (42.1%); Code: Condominium","Condominium"
"39-45","F_767044_2960209","351 CARDINAL MEDEIROS AVE",199,148,102,0.403,"59/148 nearby properties (40.3%); Code: Condominium","Condominium"
"39-51","F_766765_2960020","26 HARDWICK ST",199,143,102,0.422,"60/143 nearby properties (42.2%); Code: Condominium","Condominium"
"39-66","F_767015_2960174","345 CARDINAL MEDEIROS AVE",199,152,102,0.409,"62/152 nearby properties (40.9%); Code: Condominium","Condominium"
"39-95","F_766723_2959920","19-21 YORK PL",199,154,102,0.420,"64/154 nearby properties (42.0%); Code: Condominium","Condominium"
"39-96","F_766779_2959897","15-17 YORK PL",199,162,102,0.359,"58/162 nearby properties (35.9%); Code: Condominium","Condominium"
"39-101","F_766946_2959976","2 HARDWICK ST",199,144,101,0.376,"54/144 nearby properties (37.6%); Code: Single Family","Single Family"
"39-169","F_767371_2960023","353 BINNEY ST",9970,340,102,0.540,"183/340 nearby properties (54.0%); Code: Condominium","Condominium"
"39-173","F_766866_2959374","399 BINNEY ST",406,149,101,0.402,"59/149 nearby properties (40.2%); Code: Single Family","Single Family"
"40-8","F_766387_2959048","3-9 WEBSTER AVE",1094,94,101,0.418,"39/94 nearby properties (41.8%); Code: Single Family","Single Family"
"40-14","F_766330_2959261","35 WEBSTER AVE",1091,161,101,0.397,"63/161 nearby properties (39.7%); Code: Single Family","Single Family"
"40-18","F_766258_2959421","53 WEBSTER AVE",199,175,101,0.325,"56/175 nearby properties (32.5%); Code: Single Family","Single Family"
"40-44","F_766188_2959735","52 PLYMOUTH ST",199,152,102,0.414,"62/152 nearby properties (41.4%); Code: Condominium","Condominium"
"40-54","F_766295_2959551","49 BRISTOL ST",199,161,102,0.306,"49/161 nearby properties (30.6%); Code: Condominium","Condominium"
"40-84","F_766254_2959827","51 PLYMOUTH ST",013,131,102,0.465,"60/131 nearby properties (46.5%); Code: Condominium","Condominium"
"40-96","F_766469_2959794","35-37 BERKSHIRE ST",199,149,102,0.412,"61/149 nearby properties (41.2%); Code: Condominium","Condominium"
"40-97","F_766474_2959752","23 BERKSHIRE ST",199,138,102,0.397,"54/138 nearby properties (39.7%); Code: Condominium","Condominium"
"40-111","F_766757_2959591","5-7 PLYMOUTH ST",199,148,102,0.397,"58/148 nearby properties (39.7%); Code: Condominium","Condominium"
"40-136","F_766582_2959297","10 BRISTOL ST",199,109,101,0.484,"52/109 nearby properties (48.4%); Code: Single Family","Single Family"
"40-137","F_766611_2959285","6 BRISTOL ST",199,100,101,0.517,"51/100 nearby properties (51.7%); Code: Single Family","Single Family"
"40-138","F_766646_2959270","233 CARDINAL MEDEIROS AVE",199,95,101,0.536,"50/95 nearby properties (53.6%); Code: Single Family","Single Family"
"40-253","F_766307_2959318","39-45 WEBSTER AVE",199,166,101,0.378,"62/166 nearby properties (37.8%); Code: Single Family","Single Family"
"40-140","F_766597_2959772","30 BERKSHIRE ST",199,145,102,0.323,"46/145 nearby properties (32.3%); Code: Condominium","Condominium"
"40-147","F_766693_2959712","14 VANDINE ST",199,146,102,0.341,"49/146 nearby properties (34.1%); Code: Condominium","Condominium"
"40-171","F_766517_2959450","19-25 BRISTOL ST",1095,187,102,0.364,"68/187 nearby properties (36.4%); Code: Condominium","Condominium"
"40-181","F_766764_2959772","11 VANDINE ST",199,150,102,0.338,"50/150 nearby properties (33.8%); Code: Condominium","Condominium"
"40-183","F_766436_2959637","26-26A PLYMOUTH ST",199,162,102,0.380,"61/162 nearby properties (38.0%); Code: Condominium","Condominium"
"40-191","F_766835_2959777","293 CARDINAL MEDEIROS AVE",199,146,101,0.373,"54/146 nearby properties (37.3%); Code: Single Family","Single Family"
"40-243","F_766407_2959891","40-50 YORK ST",1095,194,102,0.395,"76/194 nearby properties (39.5%); Code: Condominium","Condominium"
"41-26","F_766921_2958545","1 HAMPSHIRE ST",199,20,392,0.222,"4/20 nearby properties (22.2%); Code: Undevelopable Land","Undevelopable Land"
"41-29","F_766813_2959054","1 KENDALL SQ-2",406,98,101,0.462,"45/98 nearby properties (46.2%); Code: Single Family","Single Family"
"41-36","F_766952_2959113","1E KENDALL SQ",346,102,101,0.446,"45/102 nearby properties (44.6%); Code: Single Family","Single Family"
"41-37","F_766997_2958827","360 BINNEY ST",406,31,413,0.588,"18/31 nearby properties (58.8%); Code: Other","Other"
"41-38","F_766707_2958824","1A KENDALL SQ",345,85,101,0.394,"33/85 nearby properties (39.4%); Code: Single Family","Single Family"
"42-14","F_765917_2958901","221 BROADWAY",1094,109,102,0.564,"61/109 nearby properties (56.4%); Code: Condominium","Condominium"
"42-57","F_766257_2958373","125 PORTLAND ST",199,39,102,0.750,"29/39 nearby properties (75.0%); Code: Condominium","Condominium"
"42-58","F_766241_2958315","113 HARVARD ST",013,47,102,0.800,"37/47 nearby properties (80.0%); Code: Condominium","Condominium"
"42-70","F_766260_2958501","198 BROADWAY",346,70,102,0.561,"39/70 nearby properties (56.1%); Code: Condominium","Condominium"
"42-86","F_766118_2958952","205 BROADWAY",346,192,102,0.443,"85/192 nearby properties (44.3%); Code: Condominium","Condominium"
"42-87","F_766320_2958762","191 BROADWAY",346,99,102,0.381,"37/99 nearby properties (38.1%); Code: Condominium","Condominium"
"42-88","F_766082_2958464","125-127 HARVARD ST",199,34,102,0.296,"10/34 nearby properties (29.6%); Code: Condominium","Condominium"
"42-97","F_766030_2958614","210 BROADWAY",346,63,102,0.582,"36/63 nearby properties (58.2%); Code: Condominium","Condominium"
"43-63","F_767144_2957697","455 MAIN ST",9473,19,942,0.400,"7/19 nearby properties (40.0%); Code: College or University","College or University"
"43-73","F_767246_2958028","150 BROADWAY",346,33,413,0.611,"20/33 nearby properties (61.1%); Code: Other","Other"
"44-105","F_767676_2957543","355 MAIN ST",346,25,942,0.333,"8/25 nearby properties (33.3%); Code: College or University","College or University"
"44-104","F_767761_2957723","90 BROADWAY",346,24,300,0.273,"6/24 nearby properties (27.3%); Code: Hotels","Hotels"
"44-93","F_767895_2958305","97A BROADWAY",9900,23,300,0.250,"5/23 nearby properties (25.0%); Code: Hotels","Hotels"
